Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
Ryugia,12378737,15747.297295710749,15735.447061355202,5.785118769995588,0.00910115938495962
cyo,8195473,15223.345070434329,15724.16364084853,22.512586062430746,-0.10084768145476138
xvy,15135237,15373.093664915172,15723.37281857634,0.3670217779611437,0.19062117982036875
Arash,23417038,16274.514413507652,15717.793689772287,-12.720612368428563,0.31377095036221675
Skillertvv,17673584,16407.441091142613,15716.510743179317,-17.74276099829109,0.387197545565448
xymbii,10809844,15538.646352504362,15713.723519874926,10.063983958641835,0.10103158650788517
Failing,7587734,15312.387605687076,15711.990478095171,11.03871668692855,-0.04356953839383213
Kluchen,7961288,15163.58731003656,15681.52052802156,-0.9723544899689182,0.2808471271345099
Asckar,9650310,15939.318051083525,15662.395078262163,-11.21441751043351,0.2665668310377585
Aerora,7440783,15306.020139298731,15651.004882436526,6.0919979065262035,0.18732957324794444
Yonannas,8769858,14831.450413357567,15640.09557161583,16.928214885101987,0.07219009363446205
Melvr,9211924,15497.180837361277,15638.775816963029,0.0018136314488356219,0.1562112347357558
bocchicookie,6404488,14940.421183448247,15635.495334075385,12.744555205039516,-0.03689281859605967
StelLive,8359561,15705.543116426317,15634.415228351483,-12.277471524659042,0.27817035780024063
SL1PER,10199538,15492.290493367016,15614.60875091915,4.815172098468719,0.13554172976489898
ILX,15743842,15370.26048573031,15599.527146191529,19.438892218216882,-0.10346770117637424
Seviade,10954912,16390.791082920885,15599.217945035793,-19.373863951889984,0.38714279971771054
Gurbzy,12970596,15392.220434555627,15598.20889383596,-1.1328087520275778,0.13393866885364875
kusuriya,6387149,15072.169135427228,15587.87146344356,25.06782509290864,-0.09453040040913707
shime,11558207,15528.527516783435,15579.653694163751,4.335019229964406,0.05783418270489458
Pullout Couch,13571078,15776.831366325943,15566.426463425783,-4.700300913221095,0.23819260185783292
Remirakk,27758743,15600.0142218414,15563.848945936094,-13.57097330783334,0.2780251353231709
Aireu,1650010,15428.210644239665,15563.244595250893,8.191531608066057,-0.0267105092666048
Rail,11490085,14853.559169038695,15562.231449733572,17.43718997135029,-0.041779240381695795
